Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Turnover Index (Seasonally Adjusted),2017 February,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 February,"Other foods (102 to 104,108)",62.1
Industrial Turnover Index (Seasonally Adjusted),2017 February,"Grain mill and starch products; prepared animal feeds (106,109)",73.1
Industrial Turnover Index (Seasonally Adjusted),2017 February,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 February,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 February,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 February,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 February,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 February,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 March,Food products (10),107.0
Industrial Turnover Index (Seasonally Adjusted),2017 March,Meat and meat products (101),92.3
Industrial Turnover Index (Seasonally Adjusted),2017 March,Dairy products (105),71.2
Industrial Turnover Index (Seasonally Adjusted),2017 March,Bakery and farinaceous products (107),98.6
Industrial Turnover Index (Seasonally Adjusted),2017 March,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Wood and wood products, except furniture (16)",70.5
Industrial Turnover Index (Seasonally Adjusted),2017 March,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 March,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 March,Rubber and plastic products (22),78.0
Industrial Turnover Index (Seasonally Adjusted),2017 March,Other non-metallic mineral products (23),66.5
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,Electrical equipment (27),103.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,Mining and quarrying (05 to 09),50.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,Transportable goods industries (05 to 33),73.7
Industrial Turnover Index (Seasonally Adjusted),2017 March,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,Manufacturing industries (10 to 33),74.5
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",100.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Textiles, wearing apparel and leather products (13 to 15)",62.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Paper and paper products, printing and reproduction of recorded media (17,18)",96.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Basic metals and fabricated metal products (24,25)",87.4
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Transport equipment (29,30)",120.2
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Other foods (102 to 104,108)",130.3
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Grain mill and starch products; prepared animal feeds (106,109)",69.8
Industrial Turnover Index (Seasonally Adjusted),2017 March,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 March,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 March,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 March,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 March,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 March,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 April,Food products (10),83.6
Industrial Turnover Index (Seasonally Adjusted),2017 April,Meat and meat products (101),90.1
Industrial Turnover Index (Seasonally Adjusted),2017 April,Dairy products (105),75.1
Industrial Turnover Index (Seasonally Adjusted),2017 April,Bakery and farinaceous products (107),101.0
Industrial Turnover Index (Seasonally Adjusted),2017 April,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Wood and wood products, except furniture (16)",78.5
Industrial Turnover Index (Seasonally Adjusted),2017 April,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 April,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 April,Rubber and plastic products (22),75.4
Industrial Turnover Index (Seasonally Adjusted),2017 April,Other non-metallic mineral products (23),67.9
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,Electrical equipment (27),95.2
Industrial Turnover Index (Seasonally Adjusted),2017 April,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,Mining and quarrying (05 to 09),50.1
Industrial Turnover Index (Seasonally Adjusted),2017 April,Transportable goods industries (05 to 33),77.5
Industrial Turnover Index (Seasonally Adjusted),2017 April,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,Manufacturing industries (10 to 33),77.4
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",96.0
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Textiles, wearing apparel and leather products (13 to 15)",60.2
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Paper and paper products, printing and reproduction of recorded media (17,18)",93.6
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Basic metals and fabricated metal products (24,25)",88.4
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Transport equipment (29,30)",133.2
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Other foods (102 to 104,108)",84.7
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Grain mill and starch products; prepared animal feeds (106,109)",72.6
Industrial Turnover Index (Seasonally Adjusted),2017 April,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 April,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 April,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 April,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 April,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 April,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 May,Food products (10),81.0
Industrial Turnover Index (Seasonally Adjusted),2017 May,Meat and meat products (101),91.5
Industrial Turnover Index (Seasonally Adjusted),2017 May,Dairy products (105),73.4
Industrial Turnover Index (Seasonally Adjusted),2017 May,Bakery and farinaceous products (107),99.2
Industrial Turnover Index (Seasonally Adjusted),2017 May,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Wood and wood products, except furniture (16)",77.9
Industrial Turnover Index (Seasonally Adjusted),2017 May,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 May,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 May,Rubber and plastic products (22),74.4
Industrial Turnover Index (Seasonally Adjusted),2017 May,Other non-metallic mineral products (23),69.2
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,Electrical equipment (27),98.0
Industrial Turnover Index (Seasonally Adjusted),2017 May,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,Mining and quarrying (05 to 09),57.2
Industrial Turnover Index (Seasonally Adjusted),2017 May,Transportable goods industries (05 to 33),72.6
Industrial Turnover Index (Seasonally Adjusted),2017 May,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,Manufacturing industries (10 to 33),72.5
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",94.8
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Textiles, wearing apparel and leather products (13 to 15)",62.4
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Paper and paper products, printing and reproduction of recorded media (17,18)",101.2
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Basic metals and fabricated metal products (24,25)",84.3
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Transport equipment (29,30)",129.9
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Other foods (102 to 104,108)",79.2
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Grain mill and starch products; prepared animal feeds (106,109)",72.7
Industrial Turnover Index (Seasonally Adjusted),2017 May,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 May,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 May,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 May,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 May,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 May,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 June,Food products (10),82.6
Industrial Turnover Index (Seasonally Adjusted),2017 June,Meat and meat products (101),92.6
Industrial Turnover Index (Seasonally Adjusted),2017 June,Dairy products (105),73.2
Industrial Turnover Index (Seasonally Adjusted),2017 June,Bakery and farinaceous products (107),96.4
Industrial Turnover Index (Seasonally Adjusted),2017 June,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Wood and wood products, except furniture (16)",80.7
Industrial Turnover Index (Seasonally Adjusted),2017 June,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 June,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 June,Rubber and plastic products (22),76.9
Industrial Turnover Index (Seasonally Adjusted),2017 June,Other non-metallic mineral products (23),70.3
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,Electrical equipment (27),93.7
Industrial Turnover Index (Seasonally Adjusted),2017 June,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,Mining and quarrying (05 to 09),51.9
Industrial Turnover Index (Seasonally Adjusted),2017 June,Transportable goods industries (05 to 33),67.7
Industrial Turnover Index (Seasonally Adjusted),2017 June,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,Manufacturing industries (10 to 33),67.8
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",96.0
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Textiles, wearing apparel and leather products (13 to 15)",62.6
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Paper and paper products, printing and reproduction of recorded media (17,18)",108.2
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Basic metals and fabricated metal products (24,25)",78.1
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Transport equipment (29,30)",126.9
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Other foods (102 to 104,108)",82.7
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Grain mill and starch products; prepared animal feeds (106,109)",76.8
Industrial Turnover Index (Seasonally Adjusted),2017 June,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 June,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 June,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 June,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 June,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 June,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 July,Food products (10),80.3
Industrial Turnover Index (Seasonally Adjusted),2017 July,Meat and meat products (101),91.3
Industrial Turnover Index (Seasonally Adjusted),2017 July,Dairy products (105),78.0
Industrial Turnover Index (Seasonally Adjusted),2017 July,Bakery and farinaceous products (107),83.4
Industrial Turnover Index (Seasonally Adjusted),2017 July,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Wood and wood products, except furniture (16)",76.3
Industrial Turnover Index (Seasonally Adjusted),2017 July,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 July,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 July,Rubber and plastic products (22),79.6
Industrial Turnover Index (Seasonally Adjusted),2017 July,Other non-metallic mineral products (23),65.7
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,Electrical equipment (27),87.4
Industrial Turnover Index (Seasonally Adjusted),2017 July,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,Mining and quarrying (05 to 09),56.5
Industrial Turnover Index (Seasonally Adjusted),2017 July,Transportable goods industries (05 to 33),73.6
Industrial Turnover Index (Seasonally Adjusted),2017 July,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,Manufacturing industries (10 to 33),73.9
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",93.0
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Textiles, wearing apparel and leather products (13 to 15)",64.4
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Paper and paper products, printing and reproduction of recorded media (17,18)",105.4
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Basic metals and fabricated metal products (24,25)",79.2
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Transport equipment (29,30)",127.2
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Other foods (102 to 104,108)",74.5
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Grain mill and starch products; prepared animal feeds (106,109)",77.5
Industrial Turnover Index (Seasonally Adjusted),2017 July,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 July,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 July,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 July,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 July,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 July,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 August,Food products (10),81.4
Industrial Turnover Index (Seasonally Adjusted),2017 August,Meat and meat products (101),96.8
Industrial Turnover Index (Seasonally Adjusted),2017 August,Dairy products (105),83.4
Industrial Turnover Index (Seasonally Adjusted),2017 August,Bakery and farinaceous products (107),94.2
Industrial Turnover Index (Seasonally Adjusted),2017 August,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Wood and wood products, except furniture (16)",77.6
Industrial Turnover Index (Seasonally Adjusted),2017 August,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 August,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 August,Rubber and plastic products (22),70.3
Industrial Turnover Index (Seasonally Adjusted),2017 August,Other non-metallic mineral products (23),68.5
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,Electrical equipment (27),88.5
Industrial Turnover Index (Seasonally Adjusted),2017 August,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,Mining and quarrying (05 to 09),48.2
Industrial Turnover Index (Seasonally Adjusted),2017 August,Transportable goods industries (05 to 33),67.8
Industrial Turnover Index (Seasonally Adjusted),2017 August,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,Manufacturing industries (10 to 33),68.5
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",93.6
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Textiles, wearing apparel and leather products (13 to 15)",65.5
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Paper and paper products, printing and reproduction of recorded media (17,18)",92.5
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Basic metals and fabricated metal products (24,25)",78.1
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Transport equipment (29,30)",124.9
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Other foods (102 to 104,108)",73.4
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Grain mill and starch products; prepared animal feeds (106,109)",74.8
Industrial Turnover Index (Seasonally Adjusted),2017 August,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 August,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 August,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 August,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 August,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 August,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 September,Food products (10),82.2
Industrial Turnover Index (Seasonally Adjusted),2017 September,Meat and meat products (101),92.0
Industrial Turnover Index (Seasonally Adjusted),2017 September,Dairy products (105),82.0
Industrial Turnover Index (Seasonally Adjusted),2017 September,Bakery and farinaceous products (107),97.7
Industrial Turnover Index (Seasonally Adjusted),2017 September,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Wood and wood products, except furniture (16)",75.9
Industrial Turnover Index (Seasonally Adjusted),2017 September,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 September,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 September,Rubber and plastic products (22),79.0
Industrial Turnover Index (Seasonally Adjusted),2017 September,Other non-metallic mineral products (23),73.1
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,Electrical equipment (27),94.0
Industrial Turnover Index (Seasonally Adjusted),2017 September,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,Mining and quarrying (05 to 09),54.2
Industrial Turnover Index (Seasonally Adjusted),2017 September,Transportable goods industries (05 to 33),77.6
Industrial Turnover Index (Seasonally Adjusted),2017 September,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,Manufacturing industries (10 to 33),77.7
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",92.2
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Textiles, wearing apparel and leather products (13 to 15)",71.3
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Paper and paper products, printing and reproduction of recorded media (17,18)",103.5
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Basic metals and fabricated metal products (24,25)",84.0
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Transport equipment (29,30)",132.6
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Other foods (102 to 104,108)",77.8
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Grain mill and starch products; prepared animal feeds (106,109)",78.9
Industrial Turnover Index (Seasonally Adjusted),2017 September,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 September,Capital goods,
Industrial Turnover Index (Seasonally Adjusted),2017 September,Intermediate goods,
Industrial Turnover Index (Seasonally Adjusted),2017 September,Consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 September,Durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 September,Non-durable consumer goods,
Industrial Turnover Index (Seasonally Adjusted),2017 October,Food products (10),82.5
Industrial Turnover Index (Seasonally Adjusted),2017 October,Meat and meat products (101),92.0
Industrial Turnover Index (Seasonally Adjusted),2017 October,Dairy products (105),76.5
Industrial Turnover Index (Seasonally Adjusted),2017 October,Bakery and farinaceous products (107),101.5
Industrial Turnover Index (Seasonally Adjusted),2017 October,Beverages (11),
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Wood and wood products, except furniture (16)",82.6
Industrial Turnover Index (Seasonally Adjusted),2017 October,Chemicals and chemical products (20),
Industrial Turnover Index (Seasonally Adjusted),2017 October,Basic pharmaceutical products and preparations (21),
Industrial Turnover Index (Seasonally Adjusted),2017 October,Rubber and plastic products (22),75.4
Industrial Turnover Index (Seasonally Adjusted),2017 October,Other non-metallic mineral products (23),71.1
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Computer, electronic and optical products (26)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,Electrical equipment (27),84.9
Industrial Turnover Index (Seasonally Adjusted),2017 October,Machinery and equipment n.e.c. (28),
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Electricity, gas, steam and air conditioning supply (35)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Energy producing industries (05,06,19,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,Mining and quarrying (05 to 09),50.2
Industrial Turnover Index (Seasonally Adjusted),2017 October,Transportable goods industries (05 to 33),80.7
Industrial Turnover Index (Seasonally Adjusted),2017 October,Industries (05 to 35),
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Food products and beverages (10,11)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,Manufacturing industries (10 to 33),80.9
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",91.2
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Textiles, wearing apparel and leather products (13 to 15)",70.0
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Paper and paper products, printing and reproduction of recorded media (17,18)",102.5
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Chemicals and pharmaceuticals (20,21)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Basic metals and fabricated metal products (24,25)",83.7
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Transport equipment (29,30)",119.9
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Other foods (102 to 104,108)",80.0
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Grain mill and starch products; prepared animal feeds (106,109)",78.7
Industrial Turnover Index (Seasonally Adjusted),2017 October,"Modern sector (182,20,21,26,27,325)",
Industrial Turnover Index (Seasonally Adjusted),2017 October,Capital goods,
